Rank,Name,Country,Sector,Absolute Growth Rate,Compound Annual Growth Rate,Revenue 2017,Employees 2017,Founded,Revenue 2018,Revenue 2015,Employees 2018,Revenue 2019,Revenue 2016,Employees 2019,Employees 2016,Revenue 2020,Employees 2020,Revenue 2021,Employees 2021,Revenue 2022,Employees 2022,Year
826,2E Vertriebs,Germany,Retail,188.6,42.4,,,2014,,,,"9,231,690","3,199,030",18,9,,,,,,,2021
827,Rifra Costruzioni Generali,Italy,Construction,188.5,42.4,,,2007,,,,"2,541,366","880,956",22,15,,,,,,,2021
828,Les Couvreurs Occitans,France,Construction,188.0,42.3,,,2012,,,,"2,934,982","1,018,921",23,10,,,,,,,2021
829,Tarlogic Security,Spain,Cyber Security,187.6,42.2,,,2011,,,,"3,747,255","1,302,942",51,16,,,,,,,2021
830,Labmix24,Germany,Chemicals,187.4,42.2,,,2014,,,,"4,957,670","1,724,870",16,8,,,,,,,2021
831,IMAP,Germany,Management Consulting,187.2,42.1,,,2002,,,,"2,656,800","925,180",39,12,,,,,,,2021
832,DEMV Deutscher Maklerverbund,Germany,Financial Services,187.2,42.1,,,2009,,,,"2,810,530","978,730",24,9,,,,,,,2021
833,Imprecom,Italy,Construction,187.1,42.1,,,2014,,,,"12,881,940","4,486,700",58,26,,,,,,,2021
834,Istekki,Finland,Support Services,187.0,42.1,,,2009,,,,"129,807,793","45,223,564",591,315,,,,,,,2021
835,Retesol,Germany,Retail,186.4,42.0,,,2014,,,,"8,788,260","3,068,980",9,2,,,,,,,2021
836,MyPay,UK,Financial Services,186.3,42.0,,,2007,,,,"31,308,380","11,911,650",632,236,,,,,,,2021
837,iPlato Healthcare,UK,Technology,186.3,42.0,,,2007,,,,"5,961,694","2,230,675",65,25,,,,,,,2021
838,Sonarworks,Latvia,Technology,186.1,42.0,,,2012,,,,"2,641,711","923,459",64,26,,,,,,,2021
839,SR Präzision,Germany,Support Services,186.0,41.9,,,2009,,,,"4,336,860","1,516,270",6,4,,,,,,,2021
840,Information Sharing Company,Italy,Technology,185.5,41.9,,,2007,,,,"7,533,114","2,638,507",105,25,,,,,,,2021
841,j-labs,Poland,Technology,185.4,41.8,,,2010,,,,"16,238,309","5,604,534",324,137,,,,,,,2021
842,Euros Agency Group,France,Management Consulting,185.1,41.8,,,2011,,,,"4,555,292","1,597,724",n/a,n/a,,,,,,,2021
843,OpenWork / Le Monde Après,France,Management Consulting,184.9,41.8,,,2010,,,,"35,212,267","12,359,378",285,107,,,,,,,2021
844,Le Petit Vapoteur,France,Retail,184.8,41.8,,,2012,,,,"69,427,546","24,374,977",162,57,,,,,,,2021
845,Appsfactory,Germany,Technology,184.7,41.7,,,2009,,,,"16,140,000","5,670,000",199,80,,,,,,,2021
846,Industry Service Partner,Latvia,Support Services,184.6,41.7,,,2003,,,,"12,326,441","4,330,558",136,57,,,,,,,2021
847,metacrew group,Germany,Retail,184.6,41.7,,,2008,,,,"28,943,850","10,169,320",75,45,,,,,,,2021
848,Almac,Italy,Industrial Goods,184.1,41.6,,,2013,,,,"13,437,000","4,729,000",44,14,,,,,,,2021
849,DQE Software,France,Technology,183.5,41.5,,,2008,,,,"4,905,768","1,730,153",28,13,,,,,,,2021
850,Go Concept,France,Management Consulting,183.5,41.5,,,2011,,,,"30,138,000","10,631,947",448,95,,,,,,,2021
851,Carreau Sol,France,Construction,183.4,41.5,,,2011,,,,"1,602,018","565,258",16,9,,,,,,,2021
852,2I Portage,France,Management Consulting,183.4,41.5,,,2007,,,,"11,962,758","4,221,855",9,3,,,,,,,2021
853,Dolly Noire,Italy,Fashion,183.0,41.5,,,2013,,,,"3,667,789","1,295,863",15,7,,,,,,,2021
854,Signicat,Norway,Technology,182.6,41.4,,,2006,,,,"26,889,264","10,087,931",158,62,,,,,,,2021
855,Aspir Adour,France,Construction,182.5,41.4,,,2010,,,,"1,842,662","652,181",14,5,,,,,,,2021
856,Nova Cartotecnica Roberto,Italy,Industrial Goods,182.4,41.4,,,2012,,,,"2,870,681","1,016,398",39,12,,,,,,,2021
857,Ceao Motor,Spain,Automobiles,182.2,41.3,,,2002,,,,"5,299,925","1,877,761",5,4,,,,,,,2021
858,Univers Auto,France,Automobiles,181.6,41.2,,,2012,,,,"11,211,828","3,981,558",10,1,,,,,,,2021
859,Mailup,Italy,Technology,181.0,41.1,,,2002,,,,"59,269,302","21,090,012",237,142,,,,,,,2021
860,Meblobranie,Poland,Ecommerce,180.2,41.0,,,2010,,,,"13,082,831","4,598,817",19,3,,,,,,,2021
861,LT Metal Partners,Lithuania,Industrial Goods,180.1,41.0,,,2013,,,,"6,842,543","2,443,082",21,13,,,,,,,2021
862,Awinsi Technologies,France,Management Consulting,179.2,40.8,,,2010,,,,"2,147,300","769,000",14,7,,,,,,,2021
863,PRIMA SOLUTIONS,France,Technology,179.1,40.8,,,2000,,,,"37,400,000","13,400,000",329,53,,,,,,,2021
864,A&D Holidays,UK,Travel & Leisure,178.9,40.8,,,2010,,,,"8,731,456","3,353,308",31,12,,,,,,,2021
865,Sphere Immo,France,Property,178.3,40.7,,,2011,,,,"9,139,777","3,284,724",n/a,n/a,,,,,,,2021
866,Izertis,Spain,Technology,178.0,40.6,,,1996,,,,"46,348,000","16,670,000",668,127,,,,,,,2021
867,Majar - Matzaridis Bros,Greece,Technology,177.5,40.5,,,1994,,,,"10,088,538","3,635,827",15,15,,,,,,,2021
868,Archingest,Italy,Construction,177.4,40.5,,,2005,,,,"1,855,257","668,697",4,2,,,,,,,2021
869,Vanita Docce,Italy,Interiors,177.2,40.5,,,2015,,,,"7,344,741","2,649,202",14,6,,,,,,,2021
870,HE Profilcenter,Germany,Construction,177.2,40.5,,,2012,,,,"7,852,470","2,832,480",50,20,,,,,,,2021
871,Expertease Partners,France,Financial Services,177.2,40.5,,,2014,,,,"4,341,130","1,566,020",10,1,,,,,,,2021
872,Merk Internethandel,Germany,Retail,177.0,40.4,,,2010,,,,"3,222,850","1,163,380",6,2,,,,,,,2021
873,DENEVY,Czech Republic,Technology,177.0,40.4,,,2014,,,,"1,734,685","626,296",14,6,,,,,,,2021
874,Easy Industry,Romania,Industrial Goods,177.0,40.4,,,2007,,,,"2,120,396","809,057",43,25,,,,,,,2021
875,Inrete,Italy,Management Consulting,176.6,40.4,,,2010,,,,"7,003,053","2,532,161",14,13,,,,,,,2021
876,Lymo,France,Property,176.5,40.4,,,2013,,,,"2,261,973","817,990",27,10,,,,,,,2021
877,Cyden (iPulse),UK,Technology,176.3,40.3,,,2012,,,,"55,070,422","21,345,299",122,32,,,,,,,2021
878,Mashfrog Group,Italy,Technology,176.1,40.3,,,1999,,,,"26,235,246","9,502,582",349,117,,,,,,,2021
879,Home Plus,France,Construction,176.0,40.3,,,2011,,,,"17,958,207","6,505,478",45,26,,,,,,,2021
880,Treasury Intelligence Solutions,Germany,Technology,176.0,40.3,,,2010,,,,"11,500,000","4,166,930",140,57,,,,,,,2021
881,Kombitex,Germany,Retail,175.8,40.2,,,2014,,,,"9,464,900","3,431,430",24,8,,,,,,,2021
882,Axopar Boats,Finland,Travel & Leisure,175.7,40.2,,,2014,,,,"55,462,484","20,114,207",18,2,,,,,,,2021
883,Aufgesang,Germany,Advertising,175.7,40.2,,,2012,,,,"2,134,930","774,370",39,18,,,,,,,2021
884,Square Mile Investment Consulting and Research,UK,Financial Services,174.7,40.1,,,2013,,,,"6,323,308","2,465,619",34,17,,,,,,,2021
885,Cookies Factory,Italy,Media,174.3,40.0,,,2013,,,,"6,520,527","2,377,334",14,5,,,,,,,2021
886,mVISE,Germany,Technology,173.2,39.8,,,2000,,,,"21,538,000","7,884,000",160,104,,,,,,,2021
887,Altansia,France,Technology,173.1,39.8,,,2011,,,,"6,911,724","2,530,890",n/a,n/a,,,,,,,2021
888,Treesystem,Italy,Energy,172.8,39.7,,,2010,,,,"6,231,316","2,284,296",11,6,,,,,,,2021
889,Tappx,Spain,Advertising,172.8,39.7,,,2013,,,,"6,850,194","2,511,422",25,6,,,,,,,2021
890,Hostinger,Lithuania,Technology,172.7,39.7,,,2004,,,,"16,605,262","6,088,897",500,50,,,,,,,2021
891,Hornetsecurity,Germany,Cyber Security,172.6,39.7,,,2007,,,,"10,840,277","3,976,078",130,68,,,,,,,2021
892,VH24,Germany,Support Services,172.2,39.6,,,2011,,,,"9,800,000","3,600,000",52,19,,,,,,,2021
893,Ehret+Klein,Germany,Property,172.2,39.6,,,2006,,,,"13,814,270","5,074,800",61,43,,,,,,,2021
894,Nohup,Italy,Technology,172.2,39.6,,,2004,,,,"3,305,281","1,214,228",18,10,,,,,,,2021
895,Airline Component Services,UK,Aerospace & Defence,172.1,39.6,,,2005,,,,"8,100,868","3,097,083",12,6,,,,,,,2021
896,Mogo Finance,Latvia,Financial Services,171.9,39.6,,,2012,,,,"80,200,000","29,500,000",955,222,,,,,,,2021
897,Lugar Da Veiga,Spain,Food & Beverage,171.8,39.6,,,2005,,,,"6,368,109","2,342,607",83,28,,,,,,,2021
898,Conglomerari Bituminosi,Italy,Construction,171.8,39.6,,,1975,,,,"22,044,268","8,109,855",59,26,,,,,,,2021
899,Mds Partners,France,Technology,171.5,39.5,,,2015,,,,"2,538,483","934,878",4,2,,,,,,,2021
900,Manifone,France,Telecoms,171.4,39.5,,,2006,,,,"10,016,000","3,690,000",17,10,,,,,,,2021
901,bizforward,Germany,Support Services,171.2,39.4,,,2014,,,,"2,980,830","1,099,230",10,2,,,,,,,2021
902,LendInvest,UK,Fintech,171.0,39.4,,,2012,,,,"123,859,449","47,542,966",210,102,,,,,,,2021
903,Fensterblick,Germany,Retail,170.9,39.4,,,2013,,,,"3,579,460","1,321,150",11,5,,,,,,,2021
904,Sanitär Leitermann,Germany,Construction,170.7,39.4,,,2006,,,,"18,569,350","6,859,180",26,31,,,,,,,2021
905,B1Gas,Italy,Energy,170.6,39.3,,,2010,,,,"20,333,579","7,515,432",5,3,,,,,,,2021
906,FTAPI Software,Germany,Technology,170.4,39.3,,,2011,,,,"3,450,000","1,276,000",50,15,,,,,,,2021
907,Brand Id (Axians)**,Italy,Telecoms,169.9,39.2,,,2011,,,,"17,219,773","6,380,749",41,20,,,,,,,2021
908,Proprietes Du Monde,France,Property,169.7,39.2,,,2012,,,,"2,722,498","1,009,477",1,1,,,,,,,2021
909,MAGISA Wundmanagement,Germany,Health,169.4,39.2,,,2014,,,,"1,827,010","678,070",18,8,,,,,,,2021
910,STEPS,France,Construction,169.4,39.1,,,2014,,,,"2,822,692","1,047,778",1,1,,,,,,,2021
911,Overdrive,France,Construction,169.3,39.1,,,2010,,,,"3,509,009","1,303,002",29,11,,,,,,,2021
912,Nord Est Elevatori,Italy,Industrial Goods,169.2,39.1,,,2011,,,,"3,429,365","1,273,697",13,6,,,,,,,2021
913,Accedia JSC,Bulgaria,Technology,168.9,39.1,,,2012,,,,"5,976,582","2,222,620",132,60,,,,,,,2021
914,Webranking,Italy,Advertising,168.6,39.0,,,1998,,,,"21,295,624","7,926,976",94,57,,,,,,,2021
915,Arpilabe,France,Support Services,167.9,38.9,,,2008,,,,"2,268,951","846,965",43,7,,,,,,,2021
916,General Service,Italy,Industrial Goods,167.8,38.9,,,2012,,,,"4,041,623","1,509,033",31,23,,,,,,,2021
917,Digital Angels,Italy,Advertising,167.6,38.8,,,2007,,,,"4,546,116","1,698,821",18,7,,,,,,,2021
918,La Société Des Revêtements,France,Construction,167.5,38.8,,,1975,,,,"3,480,000","1,300,880",11,7,,,,,,,2021
919,HUNDT CONSULT,Germany,Property,167.4,38.8,,,2003,,,,"8,000,000","2,992,000",80,20,,,,,,,2021
920,IQM Selezione,Italy,Support Services,167.3,38.8,,,2005,,,,"1,861,357","696,225",11,12,,,,,,,2021
921,G.Engineering,Italy,Industrial Goods,167.3,38.8,,,2012,,,,"13,311,524","4,980,052",39,16,,,,,,,2021
922,Nwg Energia S.P.A Società Benefit,Italy,Energy,167.0,38.7,,,2014,,,,"101,586,621","38,045,413",52,29,,,,,,,2021
923,Laboratorio Di Analisi Veterinarie La Vallonea,Italy,Health,166.4,38.6,,,2009,,,,"5,532,582","2,077,049",29,6,,,,,,,2021
924,Gma Cooperativa Sociale,Italy,Support Services,166.1,38.6,,,2012,,,,"3,446,767","1,295,216",145,59,,,,,,,2021
925,HD Insurance,Cyprus,Insurance,166.0,38.6,,,2011,,,,"19,702,824","7,405,923",78,30,,,,,,,2021
926,Next Turbo Technologies,Italy,Industrial Goods,165.9,38.5,,,2014,,,,"7,369,204","2,771,331",13,8,,,,,,,2021
927,PrimeEng Group,UK,Management Consulting,165.7,38.5,,,2014,,,,"83,842,247","31,557,777",1486,784,,,,,,,2021
928,Kemmner Logistik,Germany,Transport,165.5,38.5,,,2008,,,,"2,280,680","858,880",43,16,,,,,,,2021
929,La Boulangerie Des Gourmets,France,Food & Beverage,165.3,38.4,,,2013,,,,"34,238,713","12,903,473",6,1,,,,,,,2021
930,Ds Vending,Italy,Retail,165.3,38.4,,,2015,,,,"4,067,901","1,533,418",4,1,,,,,,,2021
931,BEN Montageservice,Germany,Construction,164.9,38.4,,,2016,,,,"5,363,920","2,025,020",65,30,,,,,,,2021
932,Zonneplan,Netherlands,Energy,164.1,38.2,,,2013,,,,"76,900,732","29,119,700",91,30,,,,,,,2021
933,Cross,Germany,Retail,163.9,38.2,,,2010,,,,"75,337,480","28,543,280",3,3,,,,,,,2021
934,Crosscall,France,Telecoms,163.4,38.1,,,2009,,,,"78,458,278","29,789,595",139,90,,,,,,,2021
935,LoopMe,UK,Technology,163.4,38.1,,,2012,,,,"40,465,414","15,538,849",226,132,,,,,,,2021
936,Grape Solutions Hungary,Hungary,Technology,163.3,38.1,,,2006,,,,"7,482,052","2,967,975",106,49,,,,,,,2021
937,Epaper,Italy,Industrial Goods,163.3,38.1,,,2015,,,,"9,633,328","3,659,365",9,3,,,,,,,2021
938,Fugu,France,Construction,163.2,38.1,,,2011,,,,"2,379,000","904,000",8,2,,,,,,,2021
939,Fb.M.,Italy,Support Services,162.8,38.0,,,2012,,,,"8,841,628","3,364,620",79,49,,,,,,,2021
940,BST Becker Sanierungstechnik,Germany,Construction,162.4,37.9,,,2012,,,,"34,900,000","13,300,000",139,71,,,,,,,2021
941,Bandel Automobiltechnik,Germany,Automobiles,162.3,37.9,,,2007,,,,"63,102,120","24,053,370",180,85,,,,,,,2021
942,Fimetal Di Fernando Gaetano,Italy,Industrial Goods,162.3,37.9,,,2006,,,,"1,773,865","676,267",16,5,,,,,,,2021
943,EXPLEO,Hungary,Energy,162.3,37.9,,,2011,,,,"1,844,977","734,782",9,6,,,,,,,2021
944,Coolshop,Italy,Technology,161.9,37.8,,,2010,,,,"4,954,162","1,891,913",63,28,,,,,,,2021
945,Workable Technology,UK,Technology,161.3,37.7,,,2012,,,,"20,686,758","8,007,803",273,113,,,,,,,2021
946,Schmitt & Zerreissen,Germany,Energy,161.0,37.7,,,2013,,,,"14,956,720","5,729,990",4,2,,,,,,,2021
947,KlimaInvest Green Concepts,Germany,Energy,160.9,37.7,,,2009,,,,"11,844,040","4,539,640",14,11,,,,,,,2021
948,Kostruire,Italy,Construction,160.2,37.5,,,2005,,,,"16,028,979","6,160,119",18,14,,,,,,,2021
949,Granite Underwriting,UK,Insurance,160.2,37.5,,,2007,,,,"96,068,351","39,547,896",859,423,,,,,,,2021
950,Ogrodosfera,Poland,Ecommerce,160.2,37.5,,,2012,,,,"8,378,672","3,171,802",16,11,,,,,,,2021
951,Constaff,Germany,Technology,160.2,37.5,,,2010,,,,"24,820,690","9,540,450",80,33,,,,,,,2021
952,Playground,Italy,Advertising,160.2,37.5,,,2006,,,,"2,225,215","855,332",39,15,,,,,,,2021
953,Egress Software Technologies,UK,Technology,160.1,37.5,,,2007,,,,"16,124,555","6,641,199",232,94,,,,,,,2021
954,e-Attestations,France,Technology,159.2,37.4,,,2008,,,,"4,891,866","1,887,404",28,16,,,,,,,2021
955,Italianway,Italy,Travel & Leisure,159.0,37.3,,,2014,,,,"4,164,132","1,607,481",40,15,,,,,,,2021
956,Oettinger Gruppe,Germany,Construction,158.4,37.2,,,2006,,,,"36,852,970","14,264,100",105,70,,,,,,,2021
957,Integrata,Finland,Financial Services,158.3,37.2,,,2008,,,,"7,275,000","2,817,000",84,24,,,,,,,2021
958,Pure Gaming,France,Retail,158.3,37.2,,,2010,,,,"4,115,677","1,593,666",1,N/A,,,,,,,2021
959,Crestanevada,Spain,Automobiles,158.2,37.2,,,2012,,,,"11,379,155","4,407,447",22,8,,,,,,,2021
960,Arcadia Investment,Germany,Property,158.0,37.2,,,2012,,,,"3,903,400","1,512,760",33,10,,,,,,,2021
961,Smartblue,Italy,Support Services,157.9,37.1,,,2015,,,,"1,705,658","661,411",18,4,,,,,,,2021
962,MBJ Solutions,Germany,Industrial Goods,157.8,37.1,,,2009,,,,"8,419,530","3,265,340",20,13,,,,,,,2021
963,leguano,Germany,Retail,157.8,37.1,,,2009,,,,"37,716,510","14,628,120",463,224,,,,,,,2021
964,Razor,UK,Technology,157.3,37.0,,,2009,,,,"1,550,270","690,011",19,3,,,,,,,2021
965,Sticker Transporte,Germany,Transport,157.2,37.0,,,2012,,,,"5,235,760","2,035,740",83,47,,,,,,,2021
966,Kolonial.no,Norway,Food & Beverage,156.9,37.0,,,2013,,,,"110,597,554","45,639,838",341,418,,,,,,,2021
967,Krähling Bauunternehmung,Germany,Construction,156.6,36.9,,,2009,,,,"4,226,030","1,646,920",38,19,,,,,,,2021
968,Velotransport,Italy,Transport,156.2,36.8,,,2014,,,,"2,617,723","1,021,737",45,40,,,,,,,2021
969,die.interaktiven,Germany,Technology,156.1,36.8,,,2001,,,,"7,708,000","3,010,000",73,34,,,,,,,2021
970,Rinkit,UK,Ecommerce,155.9,36.8,,,2011,,,,"20,864,153","8,523,118",44,31,,,,,,,2021
971,Squad,France,Management Consulting,155.7,36.7,,,2010,,,,"48,612,280","19,014,365",485,270,,,,,,,2021
972,Saegus,France,Management Consulting,155.6,36.7,,,2014,,,,"10,330,000","4,041,000",96,40,,,,,,,2021
973,Genoke Trading,Estonia,Construction,155.3,36.7,,,2015,,,,"4,022,156","1,575,520",6,1,,,,,,,2021
974,Licht + Strom,Germany,Technology,154.5,36.5,,,2007,,,,"2,800,000","1,100,000",24,5,,,,,,,2021
975,Putetto,Italy,Construction,154.3,36.5,,,1968,,,,"2,024,862","796,104",13,10,,,,,,,2021
976,Talents & Projets,France,Management Consulting,154.2,36.5,,,2010,,,,"5,460,208","2,147,824",n/a,n/a,,,,,,,2021
977,The Botanical Club,Italy,Restaurants,154.0,36.4,,,2011,,,,"2,855,718","1,124,114",29,14,,,,,,,2021
978,Maxpay Holding,Malta,Fintech,153.9,36.4,,,2014,,,,"10,997,124","4,331,857",135,49,,,,,,,2021
979,Santé Formapro,France,Health,153.7,36.4,,,2013,,,,"3,800,000","1,497,855",21,13,,,,,,,2021
980,Stingel Consulting,Germany,Technology,153.6,36.4,,,2013,,,,"17,500,000","6,900,000",20,10,,,,,,,2021
981,Join Business Management Consulting,Italy,Management Consulting,153.3,36.3,,,2013,,,,"6,156,495","2,430,626",53,15,,,,,,,2021
982,Keytech,Italy,Cyber Security,153.2,36.3,,,1989,,,,"3,084,108","1,217,960",20,4,,,,,,,2021
983,Les porteclés de l'immobilier,France,Property,153.0,36.3,,,2014,,,,"7,632,116","3,016,828",7,5,,,,,,,2021
984,Vizion Network,UK,Automobiles,152.7,36.2,,,2008,,,,"73,314,747","31,080,824",191,100,,,,,,,2021
985,Yogurt Factory,France,Food & Beverage,152.4,36.2,,,2012,,,,"5,300,000","2,100,000",80,25,,,,,,,2021
986,Clearabee,UK,Waste Management & Recycling,151.7,36.0,,,2012,,,,"18,678,220","7,949,875",252,109,,,,,,,2021
987,Parkhotel Schillerhain,Germany,Travel & Leisure,151.6,36.0,,,1998,,,,"2,711,580","1,077,680",72,37,,,,,,,2021
988,Translated,Italy,Support Services,151.5,36.0,,,2000,,,,"33,210,158","13,204,272",78,39,,,,,,,2021
989,lemonads,Switzerland,Advertising,151.5,36.0,,,2011,,,,"4,450,612","1,805,898",40,8,,,,,,,2021
990,Bombayworks,Sweden,Technology,151.2,35.9,,,2007,,,,"6,813,717","3,032,876",60,19,,,,,,,2021
991,Aizo Group,Switzerland,Technology,150.6,35.8,,,2009,,,,"13,600,000","5,426,000",58,65,,,,,,,2021
992,Csq Estintori,Italy,Industrial Goods,150.6,35.8,,,2015,,,,"2,511,708","1,002,114",5,5,,,,,,,2021
993,Market Solutions Sverige,Sweden,Advertising,150.4,35.8,,,2012,,,,"3,566,504","1,592,899",8,5,,,,,,,2021
994,E-NG,Germany,Energy,150.2,35.8,,,2014,,,,"5,630,000","2,250,000",9,6,,,,,,,2021
995,Dgs,Italy,Industrial Goods,150.0,35.7,,,2014,,,,"3,000,000","1,200,000",16,9,,,,,,,2021
996,Magilla,Italy,Advertising,150.0,35.7,,,2011,,,,"1,674,159","669,772",19,14,,,,,,,2021
997,bio-energies diffusion,France,Energy,149.4,35.6,,,2005,,,,"2,370,118","950,412",10,3,,,,,,,2021
998,Enogia,France,Energy,149.1,35.6,,,2009,,,,"2,539,125","1,019,222",32,21,,,,,,,2021
999,NTC Nano Tech Coatings,Germany,Chemicals,148.9,35.5,,,2000,,,,"2,567,360","1,031,500",7,8,,,,,,,2021
1000,Tooploox,Poland,Technology,148.7,35.5,,,2012,,,,"7,400,277","2,975,851",149,54,,,,,,,2021
"* Companies marked with an asterisk had less than 12 months of revenue in the 2016 financial year, but it still passed €100,000 revenue. ** Companies marked with a double asterisk have been acquired since the ending of the relevant timeframe.",,,,,,,,,,,,,,,,,,,,,,2021
1,Swappie,Finland,Technology,"19,152.82",477.43,"507,000",1,2016,,,,,,,,"97,611,814",218,,,,,2022
2,Kilo Health,Lithuania,Health,"16,541.73",450.05,"344,428",10,2013,,,,,,,,"57,318,766",177,,,,,2022
3,OCI,UK,Financial Services,"13,133.13",409.59,"4,325,512",4,2012,,,,,,,,"568,322,073",32,,,,,2022
4,OnlyFans,UK,Technology,"11,928.05",393.63,"2,652,185",4,2016,,,,,,,,"316,732,986",800,,,,,2022
5,Enpal,Germany,Energy,"11,441.27",386.88,"486,165",9,2017,,,,,,,,"56,109,613",365,,,,,2022
6,MR Consulting,Germany,Waste Management & Recycling,"8,624.23",343.52,"150,908",2,2017,,,,,,,,"13,165,586",9,,,,,2022
7,Thriva,UK,Health,"7,396.77",321.66,"251,668",12,2015,,,,,,,,"18,732,563",57,,,,,2022
8,Exotec,France,Industrial Goods,"6,635.11",306.86,"706,700",15,2015,,,,,,,,"47,597,000",200,,,,,2022
9,Winelivery,Italy,Ecommerce,"6,480.53",303.73,"111,500",1,2015,,,,,,,,"7,337,290",10,,,,,2022
10,Instabox,Sweden,Technology,"6,287.13",299.73,"392,055",5,2015,,,,,,,,"24,484,879",117,,,,,2022
11,Waterdrop,Austria,Food & Beverage,"5,957.94",292.74,"680,197",12,2016,,,,,,,,"41,205,930",180,,,,,2022
12,One Lease,France,Support Services,"5,790.52",289.09,"153,046",2,2016,,,,,,,,"9,015,211",11,,,,,2022
13,Datlas*,Italy,Technology,"5,713.76",287.39,"155,406",13,2017,,,,,,,,"9,034,926",251,,,,,2022
14,Zego,UK,Fintech,"5,242.60",276.63,"229,201",36,2016,,,,,,,,"12,158,046",224,,,,,2022
15,HCL-Logistics,Germany,Transport,"4,682.15",262.97,"238,118",5,2017,,,,,,,,"11,387,156",24,,,,,2022
16,Popsa,UK,Technology,"4,649.68",262.15,"454,975",4,2016,,,,,,,,"21,455,864",34,,,,,2022
17,Unit8,Switzerland,Technology,"4,377.53",255.10,"149,397",2,2017,,,,,,,,"7,234,981",41,,,,,2022
18,Luoto Company,Finland,Technology,"4,303.97",253.14,"325,585",6,2016,,,,,,,,"14,338,668",49,,,,,2022
19,Journi Print,Austria,Ecommerce,"4,165.75",249.41,"160,624",9,2014,,,,,,,,"6,851,839",29,,,,,2022
20,Portify,France,Support Services,"4,118.60",248.11,"274,575",23,2017,,,,,,,,"11,583,215",228,,,,,2022
21,Tibber,Norway,Energy,"4,104.02",247.71,"782,918",8,2015,,,,,,,,"30,886,935",45,,,,,2022
22,Rascal Industry,Poland,Fashion,"4,029.49",245.65,"238,451",6,2013,,,,,,,,"9,008,822",18,,,,,2022
23,Pegaso Security,Italy,Support Services,"3,943.64",243.23,"207,120",20,2017,,,,,,,,"8,375,180",509,,,,,2022
24,Tide,UK,Fintech,"3,801.56",239.17,"416,562",72,2016,,,,,,,,"16,136,633",581,,,,,2022
25,Euro Top Brand,Italy,Retail,"3,726.04",236.96,"363,010",1,2017,,,,,,,,"13,888,900",1,,,,,2022
26,Bold Security Group,UK,Support Services,"3,356.60",225.75,"181,772",6,2011,,,,,,,,"6,238,378",26,,,,,2022
27,Play Magnus Group,Norway,Games Industry,"2,967.63",213.04,"214,673",10,2013,,,,,,,,"6,461,790",140,,,,,2022
28,Blue Whale Growth Fund,UK,Financial Services,"2,957.41",212.69,"170,950",1,2016,,,,,,,,"5,189,391",7,,,,,2022
29,Kazidomi,Belgium,Ecommerce,"2,950.29",212.45,"263,663",3,2016,,,,,,,,"8,042,499",65,,,,,2022
30,Sun Finance,Latvia,Fintech,"2,899.26",210.70,"4,044,537",90,2012,,,,,,,,"121,306,296",800,,,,,2022
31,Credimi,Italy,Financial Services,"2,859.83",209.33,"381,830",21,2015,,,,,,,,"11,301,520",56,,,,,2022
32,SIRPLUS,Germany,Retail,"2,828.22",208.23,"155,043",8,2017,,,,,,,,"4,540,000",133,,,,,2022
33,AIHR | Academy to Innovate HR,The Netherlands,Education,"2,752.08",205.53,"125,682",6,2016,,,,,,,,"3,584,553",31,,,,,2022
34,Logistics Capital Partners (LCP),Luxembourg,Property,"2,744.13",205.25,"7,403,458",9,2015,,,,,,,,"210,563,743",27,,,,,2022
35,Südwest Invest,Germany,Property,"2,660.84",202.24,"210,820",2,2017,,,,,,,,"5,820,402",10,,,,,2022
36,CORADE (Plurimmo),France,Property,"2,646.07",201.70,"2,039,961",7,2000,,,,,,,,"56,018,731",7,,,,,2022
37,Carranco,Spain,Food & Beverage,"2,589.10",199.60,"155,310",4,2006,,,,,,,,"4,176,440",5,,,,,2022
38,Telemedi,Poland,Health,"2,572.52",198.98,"182,100",10,2014,,,,,,,,"4,452,513",50,,,,,2022
39,Inkitt,Germany,Technology,"2,480.16",195.49,"229,713",22,2014,,,,,,,,"5,926,970",56,,,,,2022
40,H.K.Trading,Italy,Retail,"2,438.64",193.90,"225,380",1,2016,,,,,,,,"5,721,590",2,,,,,2022
41,Attest,UK,Technology,"2,424.14",193.34,"194,090",16,2015,,,,,,,,"4,864,178",124,,,,,2022
42,LGM IMMOBILIER,France,Property,"2,416.78",193.05,"101,311",na,2016,,,,,,,,"2,549,778",11,,,,,2022
43,Wolfram Chain*,The Netherlands,Management Consulting,"2,314.21",189.02,"100,711",7,2017,,,,,,,,"2,431,371",29,,,,,2022
44,RightNow,Germany,Technology,"2,256.98",186.72,"379,771",3,2017,,,,,,,,"8,951,132",38,,,,,2022
45,EO Charging,UK,Technology,"2,182.00",183.64,"757,323",7,2014,,,,,,,,"17,158,962",63,,,,,2022
46,CheTariffa.it,Italy,Support Services,"2,164.85",182.93,"110,200",2,2013,,,,,,,,"2,495,860",9,,,,,2022
47,Simply,UK,Financial Services,"2,131.19",181.52,"744,092",26,2017,,,,,,,,"16,483,836",90,,,,,2022
48,Salary Finance,UK,Fintech,"2,130.67",181.50,"387,995",24,2015,,,,,,,,"8,593,220",187,,,,,2022
49,DBT,Sweden,Fintech,"2,090.34",179.79,"179,204",2,2017,,,,,,,,"3,837,994",10,,,,,2022
